a,b,minimum,product,lukasiewicz,nilpotent_minimum,hamacher_product,quantum
0.60000,0.00000,0.60000,0.60000,0.60000,0.60000,0.60000,0.65010

0.60000,0.05000,0.60000,0.62000,0.65000,0.60000,0.60825,0.65250

0.60000,0.10000,0.60000,0.64000,0.70000,0.60000,0.61702,0.66690

0.60000,0.15000,0.60000,0.66000,0.75000,0.60000,0.62637,0.67730

0.60000,0.20000,0.60000,0.68000,0.80000,0.60000,0.63636,0.68620

0.60000,0.25000,0.60000,0.70000,0.85000,0.60000,0.64706,0.70460

0.60000,0.30000,0.60000,0.72000,0.90000,0.60000,0.65854,0.72390

0.60000,0.35000,0.60000,0.74000,0.95000,0.60000,0.67089,0.75640

0.60000,0.40000,0.60000,0.76000,1.00000,1.00000,0.68421,0.78130

0.60000,0.45000,0.60000,0.78000,1.00000,1.00000,0.69863,0.80180

0.60000,0.50000,0.60000,0.80000,1.00000,1.00000,0.71429,0.82860

0.60000,0.55000,0.60000,0.82000,1.00000,1.00000,0.73134,0.85340

0.60000,0.60000,0.60000,0.84000,1.00000,1.00000,0.75000,0.88040

0.60000,0.65000,0.65000,0.86000,1.00000,1.00000,0.77049,0.90110

0.60000,0.70000,0.70000,0.88000,1.00000,1.00000,0.79310,0.93080

0.60000,0.75000,0.75000,0.90000,1.00000,1.00000,0.81818,0.95150

0.60000,0.80000,0.80000,0.92000,1.00000,1.00000,0.84615,0.96730

0.60000,0.85000,0.85000,0.94000,1.00000,1.00000,0.87755,0.98230

0.60000,0.90000,0.90000,0.96000,1.00000,1.00000,0.91304,0.99190

0.60000,0.95000,0.95000,0.98000,1.00000,1.00000,0.95349,0.99780

0.60000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

0.65000,0.00000,0.65000,0.65000,0.65000,0.65000,0.65000,0.73110

0.65000,0.05000,0.65000,0.66750,0.70000,0.65000,0.65633,0.72380

0.65000,0.10000,0.65000,0.68500,0.75000,0.65000,0.66310,0.74140

0.65000,0.15000,0.65000,0.70250,0.80000,0.65000,0.67036,0.73710

0.65000,0.20000,0.65000,0.72000,0.85000,0.65000,0.67816,0.75470

0.65000,0.25000,0.65000,0.73750,0.90000,0.65000,0.68657,0.76310

0.65000,0.30000,0.65000,0.75500,0.95000,0.65000,0.69565,0.78910

0.65000,0.35000,0.65000,0.77250,1.00000,1.00000,0.70550,0.80190

0.65000,0.40000,0.65000,0.79000,1.00000,1.00000,0.71622,0.82340

0.65000,0.45000,0.65000,0.80750,1.00000,1.00000,0.72792,0.84220

0.65000,0.50000,0.65000,0.82500,1.00000,1.00000,0.74074,0.86410

0.65000,0.55000,0.65000,0.84250,1.00000,1.00000,0.75486,0.88970

0.65000,0.60000,0.65000,0.86000,1.00000,1.00000,0.77049,0.90130

0.65000,0.65000,0.65000,0.87750,1.00000,1.00000,0.78788,0.92490

0.65000,0.70000,0.70000,0.89500,1.00000,1.00000,0.80734,0.94280

0.65000,0.75000,0.75000,0.91250,1.00000,1.00000,0.82927,0.95850

0.65000,0.80000,0.80000,0.93000,1.00000,1.00000,0.85417,0.97410

0.65000,0.85000,0.85000,0.94750,1.00000,1.00000,0.88268,0.98260

0.65000,0.90000,0.90000,0.96500,1.00000,1.00000,0.91566,0.99390

0.65000,0.95000,0.95000,0.98250,1.00000,1.00000,0.95425,0.99740

0.65000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

0.70000,0.00000,0.70000,0.70000,0.70000,0.70000,0.70000,0.79320

0.70000,0.05000,0.70000,0.71500,0.75000,0.70000,0.70466,0.79340

0.70000,0.10000,0.70000,0.73000,0.80000,0.70000,0.70968,0.80230

0.70000,0.15000,0.70000,0.74500,0.85000,0.70000,0.71508,0.80260

0.70000,0.20000,0.70000,0.76000,0.90000,0.70000,0.72093,0.81840

0.70000,0.25000,0.70000,0.77500,0.95000,0.70000,0.72727,0.82730

0.70000,0.30000,0.70000,0.79000,1.00000,1.00000,0.73418,0.83600

0.70000,0.35000,0.70000,0.80500,1.00000,1.00000,0.74172,0.85330

0.70000,0.40000,0.70000,0.82000,1.00000,1.00000,0.75000,0.86710

0.70000,0.45000,0.70000,0.83500,1.00000,1.00000,0.75912,0.88010

0.70000,0.50000,0.70000,0.85000,1.00000,1.00000,0.76923,0.90330

0.70000,0.55000,0.70000,0.86500,1.00000,1.00000,0.78049,0.90810

0.70000,0.60000,0.70000,0.88000,1.00000,1.00000,0.79310,0.93060

0.70000,0.65000,0.70000,0.89500,1.00000,1.00000,0.80734,0.94600

0.70000,0.70000,0.70000,0.91000,1.00000,1.00000,0.82353,0.95650

0.70000,0.75000,0.75000,0.92500,1.00000,1.00000,0.84211,0.97190

0.70000,0.80000,0.80000,0.94000,1.00000,1.00000,0.86364,0.97770

0.70000,0.85000,0.85000,0.95500,1.00000,1.00000,0.88889,0.98820

0.70000,0.90000,0.90000,0.97000,1.00000,1.00000,0.91892,0.99650

0.70000,0.95000,0.95000,0.98500,1.00000,1.00000,0.95522,0.99850

0.70000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

0.75000,0.00000,0.75000,0.75000,0.75000,0.75000,0.75000,0.85050

0.75000,0.05000,0.75000,0.76250,0.80000,0.75000,0.75325,0.85280

0.75000,0.10000,0.75000,0.77500,0.85000,0.75000,0.75676,0.86480

0.75000,0.15000,0.75000,0.78750,0.90000,0.75000,0.76056,0.85410

0.75000,0.20000,0.75000,0.80000,0.95000,0.75000,0.76471,0.86740

0.75000,0.25000,0.75000,0.81250,1.00000,1.00000,0.76923,0.87160

0.75000,0.30000,0.75000,0.82500,1.00000,1.00000,0.77419,0.88660

0.75000,0.35000,0.75000,0.83750,1.00000,1.00000,0.77966,0.89360

0.75000,0.40000,0.75000,0.85000,1.00000,1.00000,0.78571,0.90530

0.75000,0.45000,0.75000,0.86250,1.00000,1.00000,0.79245,0.91810

0.75000,0.50000,0.75000,0.87500,1.00000,1.00000,0.80000,0.92690

0.75000,0.55000,0.75000,0.88750,1.00000,1.00000,0.80851,0.93880

0.75000,0.60000,0.75000,0.90000,1.00000,1.00000,0.81818,0.94520

0.75000,0.65000,0.75000,0.91250,1.00000,1.00000,0.82927,0.95770

0.75000,0.70000,0.75000,0.92500,1.00000,1.00000,0.84211,0.96860

0.75000,0.75000,0.75000,0.93750,1.00000,1.00000,0.85714,0.97860

0.75000,0.80000,0.80000,0.95000,1.00000,1.00000,0.87500,0.98560

0.75000,0.85000,0.85000,0.96250,1.00000,1.00000,0.89655,0.99250

0.75000,0.90000,0.90000,0.97500,1.00000,1.00000,0.92308,0.99620

0.75000,0.95000,0.95000,0.98750,1.00000,1.00000,0.95652,0.99900

